# rule_id	fragment	role	default_depth
1	aero	air_and_flight	160
2	astro	star_and_space	160
3	bio	life	160
4	chrono	time	160
5	cosmo	universe	160
6	cyber	networked_systems	160
7	data	information	160
8	demo	people_or_population	160
9	eco	environment_or_household	160
10	electro	electricity	160
11	gene	heredity	160
12	geo	earth_and_place	160
13	graph	writing_or_recording	160
14	grav	mass_and_force	160
15	hydro	water	160
16	lingu	language	160
17	logic	reasoning	160
18	macro	large_scale	160
19	mech	machines_and_motion	160
20	medic	health_and_medicine	160
21	meta	self_reference_or_aboutness	160
22	micro	small_scale	160
23	morph	form_and_shape	160
24	motor	motion_engine	160
25	multi	many	160
26	neuro	nervous_system	160
27	nom	rule_or_system	160
28	photo	light_and_image	160
29	phys	nature_and_matter	160
30	psych	mind_and_behavior	160
31	quant	amount_and_measurement	160
32	script	written_program_or_text	160
33	sem	meaning	160
34	spect	seeing_or_range	160
35	struct	organized_form	160
36	system	connected_parts	160
37	tech	applied_method	160
38	tele	distance_and_remote	160
39	therm	heat_and_temperature	160
40	topo	place_and_surface	160
41	trans	across_or_change	160
42	video	moving_image	160
43	voc	voice_or_word	160
44	web	network_and_mesh	160
45	chrono	sequence_of_time	160
46	proto	first_or_early_form	144
47	pseudo	false_or_simulated	144
48	auto	self_operating	144
49	co	joint_or_shared	144
50	inter	between_systems	144
51	intra	within_system	144
52	meta	category_or_model	144
53	micro	fine_resolution	144
54	macro	broad_resolution	144
55	mono	single	144
56	multi	multiple	144
57	poly	many_forms	144
58	pre	before_stage	144
59	post	after_stage	144
60	re	again_or_back	144
61	sub	under_or_part	144
62	super	above_or_extreme	144
63	anti	opposition_or_prevention	144
64	de	away_or_reverse	144
65	ex	outward_or_former	144
66	peri	around	144
67	para	beside_or_related	144
68	iso	equal	144
69	hetero	different	144
70	homo	same	144
71	omni	all	144
72	semi	half_or_partial	144
73	-graph	recording_suffix	176
74	-logy	study_suffix	176
75	-log	study_or_measure_suffix	176
76	-meter	measure_suffix	176
77	-scope	viewing_instrument_suffix	176
78	-nomy	ordered_system_suffix	176
79	-phile	interest_or_affinity_suffix	176
80	-phobia	fear_or_avoidance_suffix	176
81	-gen	producer_or_origin_suffix	176
82	-genic	producing_or_causing_suffix	176
83	-ism	idea_or_system_suffix	176
84	-ist	person_or_practitioner_suffix	176
85	-ware	crafted_system_suffix	176
86	-work	organized_activity_suffix	176
87	-craft	constructed_skill_suffix	176
88	-space	region_or_domain_suffix	176
89	-time	period_or_duration_suffix	176
90	-land	place_or_domain_suffix	176
91	-mind	mental_domain_suffix	176
92	-life	living_domain_suffix	176
93	-world	world_or_scope_suffix	176
94	-core	central_component_suffix	176
95	-node	connected_component_suffix	176
96	-link	connection_suffix	176
97	-flow	movement_suffix	176
98	-field	domain_suffix	176
99	-form	shape_or_structure_suffix	176
100	-type	category_suffix	176
101	-base	foundation_suffix	176
102	-layer	stack_or_level_suffix	176
103	-model	representation_suffix	176
104	-engine	process_or_machine_suffix	176
105	-tool	instrument_suffix	176
106	-maker	creator_or_device_suffix	176
107	-set	collection_suffix	176
108	-net	network_suffix	176
109	-text	written_material_suffix	176
110	-code	formal_instructions_suffix	176
111	-ware	software_or_goods_suffix	176
112	-ship	relationship_or_state_suffix	176
113	-hood	state_or_domain_suffix	176
114	-way	method_or_path_suffix	176
115	-wise	manner_or_direction_suffix	176
116	-like	similarity_suffix	176
117	-based	foundation_relation_suffix	176
118	-driven	cause_or_control_suffix	176
119	-aware	knowledge_state_suffix	176
120	-safe	safety_property_suffix	176
